Id,ResponseId,WebframeWantToWorkWith
835,738,Node.js
836,738,React
838,744,ASP.NET CORE
839,745,React
843,760,Spring Boot
844,763,Angular
847,763,Express
848,763,Node.js
850,767,Express
851,767,Node.js
852,767,React
853,770,ASP.NET CORE
855,770,Node.js
856,770,React
857,772,Angular
859,772,ASP.NET CORE
863,772,Svelte
864,773,Node.js
865,773,React
867,779,ASP.NET CORE
868,779,React
869,779,Vue.js
870,780,ASP.NET CORE
871,780,Vue.js
873,782,Node.js
875,788,Express
877,788,Next.js
878,788,Node.js
879,788,React
880,788,Spring Boot
886,797,FastAPI
888,797,React
889,808,Express
891,808,Node.js
892,808,React
893,808,Vue.js
894,811,Angular
897,811,ASP.NET CORE
898,811,Node.js
899,811,Vue.js
900,813,Spring Boot
905,814,Node.js
909,814,Svelte
910,814,Vue.js
915,820,ASP.NET CORE
916,824,ASP.NET CORE
917,824,Vue.js
918,825,Next.js
919,825,Node.js
921,825,React
926,826,Next.js
927,826,React
931,827,Express
932,827,FastAPI
934,827,Next.js
935,827,Node.js
936,827,React
937,829,Spring Boot
938,832,Angular
940,832,Express
942,832,Node.js
943,832,React
946,834,Node.js
947,844,React
949,848,Vue.js
950,849,Angular
951,849,ASP.NET CORE
953,852,Node.js
954,857,Angular
955,857,ASP.NET CORE
959,859,ASP.NET CORE
961,859,React
963,861,React
965,862,Express
966,862,Next.js
967,862,Node.js
968,862,React
972,874,Spring Boot
973,880,ASP.NET CORE
975,883,Node.js
976,884,Express
977,884,Node.js
979,884,Vue.js
980,887,Next.js
981,887,Node.js
982,887,React
985,888,Vue.js
986,891,Express
988,891,Node.js
991,891,Vue.js
992,901,ASP.NET CORE
993,901,Express
996,901,Next.js
997,901,React
998,902,Angular
999,902,Express
1000,902,Node.js
1001,902,React
1002,902,Spring Boot
1003,907,Node.js
1006,909,Express
1009,909,Next.js
1010,909,Node.js
1011,909,React
1012,913,Next.js
1013,913,Node.js
1014,913,React
1016,916,Vue.js
1017,919,FastAPI
1023,924,React
1024,924,Spring Boot
1025,924,Vue.js
1026,926,Angular
1027,926,Spring Boot
1030,928,FastAPI
1035,935,ASP.NET CORE
1037,938,FastAPI
1039,938,Svelte
1041,944,FastAPI
1044,944,Next.js
1045,944,Spring Boot
1048,946,ASP.NET CORE
1050,948,Next.js
1051,948,Node.js
1052,948,React
1055,953,FastAPI
1058,953,Spring Boot
1060,954,Next.js
1061,954,Node.js
1062,954,React
1065,954,Svelte
1066,957,Node.js
1067,957,Vue.js
1069,958,ASP.NET CORE
1071,958,Node.js
1074,958,Vue.js
1075,960,Angular
1076,960,Express
1078,960,Node.js
1080,964,ASP.NET CORE
1082,964,React
1084,964,Svelte
1085,965,Node.js
1086,965,React
1087,965,Svelte
1088,978,ASP.NET CORE
1089,978,Next.js
1090,978,Node.js
1091,978,React
1093,988,Node.js
1094,988,React
1097,989,FastAPI
1099,989,React
1102,991,Svelte
1104,1003,React
1106,1004,Express
1107,1004,Next.js
1108,1004,Node.js
1109,1004,React
1111,1010,ASP.NET CORE
1115,1019,ASP.NET CORE
1118,1019,Node.js
1121,1021,ASP.NET CORE
1124,1025,Express
1125,1025,Next.js
1126,1025,Node.js
1127,1025,React
1128,1025,Svelte
1129,1026,Angular
1130,1026,Express
1133,1026,Node.js
1134,1026,React
1136,1029,FastAPI
1138,1030,ASP.NET CORE
1140,1032,Spring Boot
1141,1032,Svelte
1144,1033,Node.js
1146,1034,Next.js
1147,1034,Node.js
1148,1034,React
1149,1034,Svelte
1153,1041,Angular
1154,1041,Next.js
1155,1041,Node.js
1156,1041,React
1159,1042,Node.js
1160,1042,React
1161,1042,Spring Boot
1162,1044,Express
1164,1044,Node.js
1165,1044,React
1166,1052,ASP.NET CORE
1167,1052,FastAPI
1168,1052,Node.js
1169,1052,React
1170,1053,Angular
1171,1053,Spring Boot
1172,1054,Node.js
1174,1062,React
1177,1065,Node.js
1178,1070,Spring Boot
1179,1071,React
1180,1071,Svelte
1181,1072,Node.js
1184,1073,Vue.js
1185,1075,ASP.NET CORE
1187,1080,Next.js
1188,1080,Node.js
1189,1080,React
1190,1083,FastAPI
1192,1084,React
1195,1087,Vue.js
1197,1091,Node.js
1198,1091,Vue.js
1199,1092,Angular
1203,1092,React
1207,1093,Express
1209,1093,Next.js
1210,1093,Node.js
1212,1093,React
1213,1095,Spring Boot
1214,1096,Angular
1216,1096,Node.js
1218,1109,FastAPI
1219,1111,Svelte
1220,1113,Angular
1222,1113,Node.js
1224,1115,Angular
1225,1115,ASP.NET CORE
1229,1116,Node.js
1230,1116,React
1231,1118,Angular
1233,1118,ASP.NET CORE
1234,1118,FastAPI
1235,1118,React
1236,1118,Vue.js
1237,1121,Express
1238,1121,FastAPI
1239,1121,Next.js
1240,1121,Node.js
1241,1121,React
1242,1123,Angular
1244,1123,ASP.NET CORE
1246,1123,Express
1247,1123,FastAPI
1250,1123,Node.js
1252,1123,React
1253,1123,Vue.js
1256,1124,Next.js
1257,1124,Node.js
1258,1124,React
1261,1125,ASP.NET CORE
1263,1125,FastAPI
1266,1126,Angular
1267,1126,Express
1269,1126,Node.js
1271,1128,Express
1275,1128,Next.js
1276,1128,Node.js
1277,1128,React
1278,1128,Spring Boot
1279,1129,Node.js
1280,1129,React
1281,1134,Angular
1282,1135,ASP.NET CORE
1283,1135,Express
1284,1135,Node.js
1285,1135,React
1286,1140,ASP.NET CORE
1287,1140,Node.js
1288,1140,Vue.js
1289,1141,Angular
1290,1141,ASP.NET CORE
1291,1142,Express
1296,1142,Next.js
1297,1142,Node.js
1300,1142,React
1306,1151,Angular
1307,1151,ASP.NET CORE
1309,1151,Svelte
1310,1152,Angular
1312,1152,ASP.NET CORE
1315,1152,Express
1316,1152,Node.js
1318,1152,React
1322,1157,Node.js
1323,1157,React
1325,1159,Node.js
1326,1159,React
1327,1159,Svelte
1328,1159,Vue.js
1331,1164,Express
1335,1164,Next.js
1336,1164,Node.js
1338,1164,Spring Boot
1339,1164,Svelte
1341,1164,Vue.js
1344,1168,Node.js
1345,1168,Spring Boot
1347,1171,Express
1349,1171,Node.js
1350,1171,React
1352,1172,Vue.js
1353,1176,Node.js
1355,1177,Node.js
1357,1178,Next.js
1358,1179,ASP.NET CORE
1360,1180,Svelte
1361,1181,Node.js
1362,1181,React
1365,1182,Node.js
1367,1182,Vue.js
1368,1185,Angular
1370,1185,ASP.NET CORE
1371,1185,Node.js
1372,1194,React
1373,1194,Vue.js
1374,1207,ASP.NET CORE
1375,1207,Next.js
1376,1207,React
1377,1207,Spring Boot
1382,1214,FastAPI
1387,1214,React
1389,1214,Svelte
1391,1216,React
1393,1219,Next.js
1394,1219,Node.js
1395,1219,React
1398,1220,Next.js
1399,1220,Node.js
1400,1220,React
1402,1222,ASP.NET CORE
1407,1224,Angular
1410,1224,Express
1411,1224,Next.js
1412,1224,React
1414,1225,Spring Boot
1415,1227,Angular
1416,1227,ASP.NET CORE
1418,1227,Express
1420,1227,Node.js
1421,1228,FastAPI
1422,1231,FastAPI
1423,1231,Next.js
1424,1231,Node.js
1425,1231,React
1427,1235,ASP.NET CORE
1429,1235,Next.js
1430,1235,Node.js
1431,1235,React
1433,1235,Vue.js
1435,1238,Next.js
1436,1238,React
1437,1238,Spring Boot
1438,1240,Express
1440,1240,Node.js
1442,1244,Express
1444,1244,Next.js
1445,1244,Node.js
1446,1244,React
1448,1249,Express
1449,1249,FastAPI
1451,1249,Node.js
1452,1249,React
1453,1249,Vue.js
1454,1250,Node.js
1455,1250,React
1459,1251,Vue.js
1460,1252,ASP.NET CORE
1461,1259,Spring Boot
1465,1264,ASP.NET CORE
1467,1264,React
1468,1264,Spring Boot
1469,1264,Vue.js
1470,1267,ASP.NET CORE
1471,1267,Node.js
1472,1267,React
1473,1278,Express
1475,1278,Next.js
1476,1278,Node.js
1477,1278,React
1478,1278,Svelte
1479,1278,Vue.js
1481,1283,ASP.NET CORE
1482,1285,React
1483,1285,Svelte
1485,1287,ASP.NET CORE
1486,1287,Node.js
1489,1288,Node.js
1490,1288,Vue.js
1491,1290,ASP.NET CORE
1495,1297,Next.js
1496,1297,React
1498,1299,Next.js
1499,1299,Node.js
1500,1299,React
1505,1300,Node.js
1506,1300,React
1507,1300,Spring Boot
1508,1300,Vue.js
1509,1309,Node.js
1510,1309,React
1511,1316,Angular
1512,1316,Node.js
1513,1316,Spring Boot
1514,1316,Vue.js
1515,1319,ASP.NET CORE
1516,1319,Node.js
1517,1319,React
1518,1323,Node.js
1519,1330,Next.js
1520,1330,Node.js
1521,1331,Node.js
1522,1331,React
1524,1335,Express
1525,1335,Next.js
1526,1335,Node.js
1527,1335,React
1528,1336,Express
1531,1336,Next.js
1532,1336,Node.js
1533,1336,React
1534,1336,Vue.js
1536,1339,Angular
1538,1339,ASP.NET CORE
1541,1342,Express
1542,1342,FastAPI
1544,1342,Node.js
1547,1343,Node.js
1548,1343,React
1549,1345,Express
1552,1345,Next.js
1553,1345,Node.js
1554,1345,React
1555,1345,Vue.js
1558,1346,ASP.NET CORE
1561,1346,React
1563,1349,Spring Boot
1564,1350,Angular
1565,1352,Next.js
1566,1352,Node.js
1567,1352,React
1568,1353,Express
1570,1353,Node.js
1571,1353,React
1572,1353,Vue.js
1577,1356,ASP.NET CORE
1579,1357,FastAPI
1583,1361,Angular
1584,1361,FastAPI
1585,1365,ASP.NET CORE
1586,1365,React
1587,1367,FastAPI
1589,1370,Express
1590,1370,Node.js
1591,1370,React
1592,1370,Spring Boot
1594,1373,ASP.NET CORE
1596,1373,Next.js
1597,1373,Node.js
1598,1373,React
1601,1376,ASP.NET CORE
1603,1376,Next.js
1604,1376,Node.js
1605,1376,React
1607,1376,Svelte
1608,1376,Vue.js
1613,1380,Next.js
1614,1380,React
1618,1380,Vue.js
1622,1386,Vue.js
1623,1388,Angular
1624,1388,ASP.NET CORE
1627,1388,Express
1629,1388,Node.js
1630,1390,ASP.NET CORE
1632,1391,FastAPI
1633,1391,Svelte
1634,1399,Express
1635,1399,FastAPI
1638,1399,Next.js
1639,1399,Node.js
1640,1399,React
1642,1403,Spring Boot
1643,1404,Next.js
1644,1404,Node.js
1645,1404,React
1648,1408,ASP.NET CORE
1649,1408,React
1650,1410,Angular
1651,1410,FastAPI
1652,1413,Node.js
1653,1414,FastAPI
1654,1414,Next.js
1655,1414,Node.js
1656,1414,React
1657,1422,React
1658,1425,Node.js
1660,1428,Angular
1661,1428,ASP.NET CORE
1663,1442,Node.js
1664,1442,Vue.js
1665,1444,ASP.NET CORE
1668,1444,Svelte
1669,1448,ASP.NET CORE
1671,1452,ASP.NET CORE
1672,1452,React
1675,1452,Vue.js
1677,1453,React
1679,1465,Angular
1682,1465,FastAPI
1684,1465,Next.js
1685,1465,Node.js
1686,1465,React
1688,1465,Spring Boot
1691,1472,Express
1692,1472,Next.js
1693,1472,Node.js
1694,1472,React
1695,1475,Angular
1697,1476,Next.js
1698,1476,Node.js
1699,1476,React
1701,1476,Svelte
1702,1476,Vue.js
1703,1478,FastAPI
1705,1478,Node.js
1706,1478,Svelte
1707,1478,Vue.js
1709,1481,Angular
1710,1481,Next.js
1711,1481,Node.js
1712,1481,React
1713,1481,Spring Boot
1714,1481,Svelte
1715,1483,FastAPI
1716,1483,Svelte
1718,1487,Node.js
1719,1487,Svelte
1721,1489,Node.js
1722,1489,React
1724,1490,FastAPI
1726,1490,Next.js
1727,1490,Node.js
1728,1490,React
1731,1490,Svelte
1732,1493,React
1734,1495,FastAPI
1737,1496,ASP.NET CORE
1740,1496,Node.js
1741,1496,Spring Boot
1742,1496,Vue.js
1743,1503,React
1744,1507,Angular
1749,1507,Next.js
1750,1507,Node.js
1752,1507,React
1754,1507,Svelte
1755,1507,Vue.js
1756,1510,ASP.NET CORE
1757,1510,Express
1758,1510,Next.js
1759,1510,Node.js
1760,1510,Svelte
1761,1513,ASP.NET CORE
1764,1516,FastAPI
1766,1522,Spring Boot
1767,1522,Vue.js
1769,1523,Next.js
1770,1523,React
1772,1527,FastAPI
1776,1529,ASP.NET CORE
1777,1529,React
1778,1531,Express
1781,1531,Node.js
1783,1531,React
1785,1531,Vue.js
1786,1533,ASP.NET CORE
1791,1535,Express
1793,1535,Next.js
1794,1535,Node.js
1795,1535,React
1796,1546,ASP.NET CORE
1797,1546,Express
1799,1546,Node.js
1800,1546,Vue.js
1801,1548,ASP.NET CORE
1805,1549,FastAPI
1806,1549,Next.js
1807,1549,Node.js
1808,1549,React
1810,1557,Node.js
1811,1557,React
1814,1560,FastAPI
1816,1560,Next.js
1817,1560,React
1822,1563,FastAPI
1824,1563,Node.js
1825,1563,Vue.js
1827,1566,Express
1828,1566,Node.js
1829,1566,React
1830,1572,Express
1831,1572,Next.js
1832,1572,Node.js
1833,1572,React
1837,1574,Angular
1838,1574,ASP.NET CORE
1839,1577,FastAPI
1841,1580,Node.js
1842,1580,Vue.js
1844,1581,FastAPI
1845,1581,Svelte
1846,1581,Vue.js
1848,1582,Node.js
1849,1591,Angular
1850,1591,ASP.NET CORE
1855,1598,ASP.NET CORE
1859,1607,Next.js
1860,1607,Node.js
1861,1607,React
1863,1615,FastAPI
1865,1615,Next.js
1866,1615,Node.js
1867,1615,React
1868,1627,Express
1869,1627,FastAPI
1871,1627,Node.js
1873,1627,Spring Boot
1874,1627,Svelte
1876,1628,ASP.NET CORE
1878,1636,ASP.NET CORE
1880,1636,Vue.js
1882,1639,Vue.js
1884,1641,ASP.NET CORE
1886,1641,Node.js
1887,1650,ASP.NET CORE
1888,1653,Next.js
1889,1653,Node.js
1890,1653,React
1893,1655,FastAPI
1894,1655,React
1895,1655,Vue.js
1896,1656,Angular
1897,1656,Express
1899,1656,Node.js
1900,1656,Svelte
1902,1659,Express
1903,1659,FastAPI
1907,1659,Node.js
1908,1659,Vue.js
1910,1660,ASP.NET CORE
1911,1664,ASP.NET CORE
1915,1664,Node.js
1919,1670,ASP.NET CORE
1922,1670,React
1923,1672,ASP.NET CORE
1926,1680,FastAPI
1927,1685,Angular
1929,1685,Node.js
1930,1685,React
1931,1685,Spring Boot
1932,1686,Angular
1935,1686,ASP.NET CORE
1938,1690,ASP.NET CORE
1941,1691,FastAPI
1944,1695,Next.js
1945,1695,Node.js
1947,1695,Spring Boot
1949,1699,ASP.NET CORE
1950,1701,Express
1953,1701,Node.js
1954,1701,React
1955,1701,Svelte
1956,1703,Angular
1957,1703,Spring Boot
1958,1704,ASP.NET CORE
1960,1705,Next.js
1961,1705,Node.js
1962,1705,React
1965,1706,Next.js
1966,1706,Spring Boot
1967,1706,Svelte
1968,1706,Vue.js
1969,1710,React
1973,1714,Next.js
1974,1714,Node.js
1975,1716,Angular
1977,1716,ASP.NET CORE
1979,1716,Vue.js
1981,1718,ASP.NET CORE
1984,1718,React
1985,1727,Vue.js
1987,1729,Node.js
1988,1729,Spring Boot
1990,1734,Next.js
1991,1734,Node.js
1993,1734,Svelte
1996,1735,FastAPI
1998,1735,React
1999,1735,Vue.js
2000,1736,Angular
2002,1736,ASP.NET CORE
2005,1736,Express
2006,1736,FastAPI
2009,1736,Next.js
2010,1736,Node.js
2011,1736,React
2013,1736,Spring Boot
2014,1736,Svelte
2015,1742,Angular
2017,1744,ASP.NET CORE
2019,1744,Next.js
2020,1744,Node.js
2021,1744,React
2022,1744,Vue.js
2023,1750,Angular
2024,1750,ASP.NET CORE
2026,1750,FastAPI
2028,1750,Node.js
2029,1750,React
2030,1758,Node.js
2032,1772,ASP.NET CORE
2037,1774,Spring Boot
2039,1775,Express
2040,1775,Node.js
2041,1788,ASP.NET CORE
2045,1793,React
2047,1794,Express
2048,1794,FastAPI
2051,1794,Next.js
2052,1794,Node.js
2054,1794,Spring Boot
2055,1799,Next.js
2056,1799,Node.js
2057,1799,React
2060,1800,ASP.NET CORE
2065,1800,FastAPI
2068,1800,Next.js
2069,1800,Node.js
2071,1800,React
2072,1800,Vue.js
2074,1801,ASP.NET CORE
2076,1801,Vue.js
2077,1803,Angular
2078,1803,ASP.NET CORE
2080,1805,Node.js
2081,1805,React
2083,1806,Angular
2085,1806,Express
2086,1806,FastAPI
2090,1806,Next.js
2091,1806,React
2093,1806,Vue.js
2094,1808,Spring Boot
2095,1809,Spring Boot
2097,1812,Node.js
2099,1814,ASP.NET CORE
2104,1817,Express
2105,1817,React
2106,1817,Svelte
2107,1818,Express
2108,1818,Node.js
2109,1831,Angular
2110,1831,Spring Boot
2111,1832,ASP.NET CORE
2112,1832,React
2113,1834,Angular
2114,1834,Node.js
2115,1834,Svelte
2116,1837,Express
2118,1837,Next.js
2119,1837,Node.js
2120,1837,React
2122,1837,Vue.js
2123,1841,Next.js
2124,1841,React
2125,1843,Node.js
2126,1843,React
2127,1843,Spring Boot
2129,1844,Express
2130,1844,Next.js
2131,1844,Node.js
2132,1844,React
2133,1844,Spring Boot
2141,1851,FastAPI
2142,1851,Spring Boot
2144,1854,ASP.NET CORE
2145,1854,Node.js
2146,1854,Svelte
2147,1856,Angular
2148,1856,ASP.NET CORE
2153,1866,ASP.NET CORE
2155,1869,Express
2157,1869,Next.js
2158,1869,Node.js
2159,1869,React
2162,1870,Svelte
2163,1870,Vue.js
2165,1876,Express
2166,1876,Next.js
2167,1876,React
2175,1901,Angular
2180,1905,ASP.NET CORE
2183,1905,React
2185,1905,Svelte
2187,1907,ASP.NET CORE
2192,1908,React
2193,1908,Svelte
2197,1912,Node.js
2201,1921,Node.js
2203,1921,React
2205,1925,Vue.js
2206,1926,React
2208,1928,FastAPI
2209,1928,Node.js
2213,1929,Node.js
2214,1929,Svelte
2220,1934,Svelte
2221,1934,Vue.js
2222,1938,ASP.NET CORE
2224,1938,FastAPI
2226,1938,React
2228,1940,Vue.js
2230,1943,Express
2232,1943,Node.js
2233,1943,React
2234,1943,Svelte
2236,1944,Svelte
2237,1946,Express
2240,1946,Node.js
2241,1946,React
2244,1955,Vue.js
2246,1957,Express
2247,1957,FastAPI
2249,1957,Next.js
2250,1957,Node.js
2251,1957,React
2252,1958,Node.js
2254,1959,Node.js
2255,1959,Vue.js
2256,1962,Angular
2258,1962,ASP.NET CORE
2261,1962,Node.js
2262,1962,Svelte
2264,1963,Node.js
2267,1964,Angular
2269,1964,Express
2271,1964,Node.js
2273,1971,Express
2275,1971,Node.js
2276,1971,React
2277,1971,Vue.js
2278,1972,Angular
2280,1972,FastAPI
